"","mpg","cylinders","disp","hp","wt","accl","model_yr","origin","manuc"
"320",31.3,"4",120,75,2542,17.5,80,3,"mazda"
"256",25.1,"4",140,88,2720,15.4,78,1,"ford"
"167",13,"8",302,129,3169,12,75,1,"ford"
"324",27.9,"4",156,105,2800,14.4,80,1,"dodge"
"259",20.6,"6",231,105,3380,15.8,78,1,"buick"
"52",30,"4",79,70,2074,19.5,71,2,"peugeot"
"189",16,"8",318,150,4190,13,76,1,"dodge"
"3",18,"8",318,150,3436,11,70,1,"plymouth"
"212",16.5,"6",168,120,3820,16.7,76,2,"mercedes"
"215",13,"8",302,130,3870,15,76,1,"ford"
"4",16,"8",304,150,3433,12,70,1,"amc"
"209",13,"8",318,150,3940,13.2,76,1,"plymouth"
"68",11,"8",429,208,4633,11,72,1,"mercury"
"193",22,"6",250,105,3353,14.5,76,1,"chevrolet"
"185",25,"4",140,92,2572,14.9,76,1,"capri"
"243",21.5,"4",121,110,2600,12.8,77,2,"bmw"
"325",40.8,"4",85,65,2110,19.2,80,3,"datsun"
"373",27,"4",151,90,2735,18,82,1,"pontiac"
"67",17,"8",304,150,3672,11.5,72,1,"amc"
"374",24,"4",140,92,2865,16.4,82,1,"ford"
"107",12,"8",350,180,4499,12.5,73,1,"oldsmobile"
"210",19,"4",120,88,3270,21.9,76,2,"peugeot"
"356",33.7,"4",107,75,2210,14.4,81,3,"honda"
"305",37.3,"4",91,69,2130,14.7,79,2,"fiat"
"126",20,"6",198,95,3102,16.5,74,1,"plymouth"
"6",15,"8",429,198,4341,10,70,1,"ford"
"378",31,"4",91,68,1970,17.6,82,3,"mazda"
"261",18.6,"6",225,110,3620,18.7,78,1,"dodge"
"25",21,"6",199,90,2648,15,70,1,"amc"
"360",28.1,"4",141,80,3230,20.4,81,2,"peugeot"
"203",17.5,"6",258,95,3193,17.8,76,1,"amc"
"317",19.1,"6",225,90,3381,18.7,80,1,"dodge"
"370",34,"4",112,88,2395,18,82,1,"chevrolet"
"218",30,"4",111,80,2155,14.8,77,1,"buick"
"275",20.3,"5",131,103,2830,15.9,78,2,"audi"
"144",26,"4",97,78,2300,14.5,74,2,"opel"
"47",22,"4",140,72,2408,19,71,1,"chevrolet"
"23",25,"4",104,95,2375,17.5,70,2,"saab"
"11",15,"8",383,170,3563,10,70,1,"dodge"
"46",18,"6",258,110,2962,13.5,71,1,"amc"
"28",11,"8",318,210,4382,13.5,70,1,"dodge"
"78",22,"4",121,76,2511,18,72,2,"volkswagen"
"309",33.5,"4",151,90,2556,13.2,79,1,"pontiac"
"51",28,"4",116,90,2123,14,71,2,"opel"
"34",19,"6",232,100,2634,13,71,1,"amc"
"162",16,"6",250,105,3897,18.5,75,1,"chevrolet"
"201",18,"6",250,78,3574,21,76,1,"ford"
"239",33.5,"4",98,83,2075,15.9,77,1,"dodge"
"308",26.8,"6",173,115,2700,12.9,79,1,"oldsmobile"
"289",18.2,"8",318,135,3830,15.2,79,1,"dodge"
"166",20,"8",262,110,3221,13.5,75,1,"chevrolet"
"121",19,"4",121,112,2868,15.5,73,2,"volvo"
"22",24,"4",107,90,2430,14.5,70,2,"audi"
"244",21.5,"3",80,110,2720,13.5,77,3,"mazda"
"252",20.2,"8",302,139,3570,12.8,78,1,"mercury"
"342",23.5,"6",173,110,2725,12.6,81,1,"chevrolet"
"179",23,"4",120,88,2957,17,75,2,"peugeot"
"195",22.5,"6",232,90,3085,17.6,76,1,"amc"
"191",14.5,"8",351,152,4215,12.8,76,1,"ford"
"145",31,"4",76,52,1649,16.5,74,3,"toyota"
"33",25,"4",98,93.5,2046,19,71,1,"ford"
"137",16,"8",302,140,4141,14,74,1,"ford"
"181",25,"4",121,115,2671,13.5,75,2,"saab"
"226",17.5,"6",250,110,3520,16.4,77,1,"chevrolet"
"26",10,"8",360,215,4615,14,70,1,"ford"
"216",13,"8",318,150,3755,14,76,1,"dodge"
"127",21,"6",200,93.5,2875,17,74,1,"ford"
"77",18,"4",121,112,2933,14.5,72,2,"volvo"
"96",12,"8",455,225,4951,11,73,1,"buick"
"382",36,"4",107,75,2205,14.5,82,3,"honda"
"92",13,"8",400,150,4464,12,73,1,"chevrolet"
"312",32.1,"4",98,70,2120,15.5,80,1,"chevrolet"
"124",20,"6",156,122,2807,13.5,73,3,"toyota"
"75",13,"8",302,140,4294,16,72,1,"ford"
"332",33.8,"4",97,67,2145,18,80,3,"subaru"
"198",29,"4",90,70,1937,14.2,76,2,"volkswagen"
"66",14,"8",351,153,4129,13,72,1,"ford"
"397",28,"4",120,79,2625,18.6,82,1,"ford"
"367",17.6,"6",225,85,3465,16.6,81,1,"chrysler"
"136",18,"6",225,105,3613,16.5,74,1,"plymouth"
"74",13,"8",307,130,4098,14,72,1,"chevrolet"
"30",27,"4",97,88,2130,14.5,71,3,"datsun"
"343",30,"4",135,84,2385,12.9,81,1,"plymouth"
"129",15,"6",250,100,3336,17,74,1,"chevrolet"
"381",36,"4",120,88,2160,14.5,82,3,"nissan"
"16",22,"6",198,95,2833,15.5,70,1,"plymouth"
"84",28,"4",98,80,2164,15,72,1,"dodge"
"147",28,"4",90,75,2125,14.5,74,1,"dodge"
"36",17,"6",250,100,3329,15.5,71,1,"chevrolet"
"156",15,"6",250,72,3158,19.5,75,1,"ford"
"55",35,"4",72,69,1613,18,71,3,"datsun"
"213",16.5,"8",350,180,4380,12.1,76,1,"cadillac"
"391",32,"4",144,96,2665,13.9,82,3,"toyota"
"48",19,"6",250,100,3282,15,71,1,"pontiac"
"376",36,"4",105,74,1980,15.3,82,2,"volkswagen"
"278",16.2,"6",163,133,3410,15.8,78,2,"peugeot"
"32",25,"4",113,95,2228,14,71,3,"toyota"
"395",44,"4",97,52,2130,24.6,82,2,"volkswagen"
"333",29.8,"4",89,62,1845,15.3,80,2,"volkswagen"
"375",23,"4",151,93.5,3035,20.5,82,1,"amc"
"123",24,"4",121,110,2660,14,73,2,"saab"
"27",10,"8",307,200,4376,15,70,1,"chevrolet"
"338",32.4,"4",107,72,2290,17,80,3,"honda"
